block,line,page,text,word_no,x0,x1,y0,y1
9,0,2,AREPA,0,42.83399963378906,81.34200286865234,168.85699462890625,184.0609893798828
9,0,2,GRANDE,1,84.22200012207031,134.6088104248047,168.85699462890625,184.0609893798828
9,0,2,DE,2,137.4888153076172,153.02880859375,168.85699462890625,184.0609893798828
9,0,2,CARNE,3,155.9088134765625,196.51681518554688,168.85699462890625,184.0609893798828
9,0,2,MECHADA,4,199.39682006835938,259.3368225097656,168.85699462890625,184.0609893798828
9,0,2,"c6,000",5,265.0968322753906,304.40887451171875,168.85699462890625,184.0609893798828
9,1,2,Deliciosa,0,41.60110092163086,83.49110412597656,184.72947692871094,197.3294677734375
9,1,2,Arepa,1,85.45110321044922,112.88109588623047,184.72947692871094,197.3294677734375
9,1,2,rellena,2,114.84109497070312,145.85110473632812,184.72947692871094,197.3294677734375
9,1,2,de,3,147.81109619140625,159.41110229492188,184.72947692871094,197.3294677734375
9,1,2,carne,4,161.37109375,186.97109985351562,184.72947692871094,197.3294677734375
9,1,2,mechada,5,188.93109130859375,231.381103515625,184.72947692871094,197.3294677734375
9,2,2,acompañada,0,41.60110092163086,101.06110382080078,195.72947692871094,208.3294677734375
9,2,2,de,1,103.4811019897461,115.08110046386719,195.72947692871094,208.3294677734375
9,2,2,2,2,117.5010986328125,123.12110137939453,195.72947692871094,208.3294677734375
9,2,2,Tequeños,3,125.08110046386719,170.4511260986328,195.72947692871094,208.3294677734375
9,2,2,y,4,172.87112426757812,178.37112426757812,195.72947692871094,208.3294677734375
9,2,2,1,5,180.79112243652344,185.88111877441406,195.72947692871094,208.3294677734375
9,2,2,salsa.,6,188.30111694335938,214.3411407470703,195.72947692871094,208.3294677734375
10,0,2,AREPA,0,42.59379959106445,81.10179901123047,268.2173156738281,283.42132568359375
10,0,2,GRANDE,1,83.98179626464844,134.3686065673828,268.2173156738281,283.42132568359375
10,0,2,DE,2,137.2486114501953,152.78860473632812,268.2173156738281,283.42132568359375
10,0,2,QUESO,3,155.66860961914062,197.72860717773438,268.2173156738281,283.42132568359375
10,0,2,"c5,500",4,200.60861206054688,238.61260986328125,268.2173156738281,283.42132568359375
10,1,2,Deliciosa,0,41.3588981628418,83.2489013671875,284.0887756347656,296.68878173828125
10,1,2,Arepa,1,85.66889953613281,113.09789276123047,284.0887756347656,296.68878173828125
10,1,2,rellena,2,115.51789093017578,146.52789306640625,284.0887756347656,296.68878173828125
10,1,2,de,3,148.94789123535156,160.5478973388672,284.0887756347656,296.68878173828125
10,1,2,queso,4,162.9678955078125,191.57791137695312,284.0887756347656,296.68878173828125
10,1,2,semiduro,5,193.99790954589844,237.867919921875,284.0887756347656,296.68878173828125
10,2,2,acompañada,0,41.3588981628418,100.81890106201172,295.0887756347656,307.68878173828125
10,2,2,de,1,103.23889923095703,114.83889770507812,295.0887756347656,307.68878173828125
10,2,2,2,2,117.25889587402344,122.87889862060547,295.0887756347656,307.68878173828125
10,2,2,Tequeños,3,124.83889770507812,170.20892333984375,295.0887756347656,307.68878173828125
10,2,2,y,4,172.62892150878906,178.12892150878906,295.0887756347656,307.68878173828125
10,2,2,1,5,180.54891967773438,185.638916015625,295.0887756347656,307.68878173828125
10,2,2,salsa.,6,188.0589141845703,214.09893798828125,295.0887756347656,307.68878173828125
11,0,2,AREPA,0,42.83399963378906,81.34200286865234,219.01708984375,234.22108459472656
11,0,2,GRANDE,1,84.22200012207031,134.6088104248047,219.01708984375,234.22108459472656
11,0,2,DE,2,137.4888153076172,153.02880859375,219.01708984375,234.22108459472656
11,0,2,POLLO,3,155.9088134765625,196.1328125,219.01708984375,234.22108459472656
11,0,2,"c5,500",4,199.0128173828125,237.01681518554688,219.01708984375,234.22108459472656
11,1,2,Deliciosa,0,41.599098205566406,83.48909759521484,234.8890838623047,247.48907470703125
11,1,2,Arepa,1,85.78909301757812,113.21908569335938,234.8890838623047,247.48907470703125
11,1,2,rellena,2,115.51908111572266,146.53009033203125,234.8890838623047,247.48907470703125
11,1,2,de,3,148.83009338378906,160.4300994873047,234.8890838623047,247.48907470703125
11,1,2,pollo,4,162.7301025390625,185.84010314941406,234.8890838623047,247.48907470703125
11,1,2,mechado,5,188.14010620117188,231.3701171875,234.8890838623047,247.48907470703125
11,2,2,acompañada,0,41.599098205566406,101.05909729003906,245.8890838623047,258.48907470703125
11,2,2,de,1,103.47909545898438,115.07909393310547,245.8890838623047,258.48907470703125
11,2,2,2,2,117.49909210205078,123.11909484863281,245.8890838623047,258.48907470703125
11,2,2,Tequeños,3,125.07809448242188,170.44912719726562,245.8890838623047,258.48907470703125
11,2,2,y,4,172.86912536621094,178.36912536621094,245.8890838623047,258.48907470703125
11,2,2,1,5,180.78912353515625,185.87911987304688,245.8890838623047,258.48907470703125
11,2,2,salsa.,6,188.2991180419922,214.33914184570312,245.8890838623047,258.48907470703125
12,0,2,AREPAS,0,31.104999542236328,102.98382568359375,24.194725036621094,48.02960968017578
12,0,2,GRANDES,1,107.41778564453125,197.76210021972656,24.194725036621094,48.02960968017578
13,0,2,CACHAPAS,0,29.08445930480957,131.1591339111328,357.78955078125,381.6244201660156
0,0,3,PLATOS,0,35.548301696777344,108.28773498535156,24.194725036621094,48.02960968017578
0,0,3,FUERTES,1,112.72169494628906,193.31875610351562,24.194725036621094,48.02960968017578
1,0,3,PARRILLA,0,33.92064666748047,122.95536041259766,530.3585815429688,554.1934814453125
2,0,3,POLLO,0,222.6875,262.9114990234375,454.42730712890625,469.6313171386719
2,0,3,AL,1,265.79150390625,281.0794982910156,454.42730712890625,469.6313171386719
2,0,3,GRILL,2,283.9595031738281,317.1034851074219,454.42730712890625,469.6313171386719
2,0,3,"c6,500",3,319.9834899902344,357.47149658203125,454.42730712890625,469.6313171386719
2,1,3,Delicioso,0,182.4062042236328,229.34320068359375,469.8266906738281,483.6866760253906
2,1,3,pollo,1,234.66720581054688,260.08819580078125,469.8266906738281,483.6866760253906
2,1,3,al,2,262.75018310546875,271.3301696777344,469.8266906738281,483.6866760253906
2,1,3,grill,3,273.9921569824219,292.7581481933594,469.8266906738281,483.6866760253906
2,1,3,acompañado,4,295.4201354980469,361.6841125488281,469.8266906738281,483.6866760253906
2,2,3,de,0,191.283203125,204.04319763183594,481.82769775390625,495.68768310546875
2,2,3,arroz,1,206.7052001953125,232.2252197265625,481.82769775390625,495.68768310546875
2,2,3,"blanco,",2,234.88722229003906,271.8142395019531,481.82769775390625,495.68768310546875
2,2,3,fresca,3,274.4762268066406,305.2652282714844,481.82769775390625,495.68768310546875
2,2,3,ensalada,4,307.9272155761719,352.97216796875,481.82769775390625,495.68768310546875
2,2,3,y,5,355.6341552734375,361.68414306640625,481.82769775390625,495.68768310546875
2,3,3,nuestra,0,264.01519775390625,302.7021484375,493.8287048339844,507.6886901855469
2,3,3,guasacaca.,1,305.3641357421875,361.68414306640625,493.8287048339844,507.6886901855469
3,0,3,POLLO,0,198.43209838867188,238.65609741210938,359.66461181640625,374.8686218261719
3,0,3,SALTEADO,1,241.53610229492188,304.1640930175781,359.66461181640625,374.8686218261719
3,0,3,"c6,500",2,307.0440979003906,344.5321044921875,359.66461181640625,374.8686218261719
3,1,3,Jugoso,0,198.40089416503906,234.74490356445312,374.04931640625,387.9093017578125
3,1,3,pollo,1,237.0109100341797,262.4319152832031,374.04931640625,387.9093017578125
3,1,3,salteado,2,264.6979064941406,308.2358703613281,374.04931640625,387.9093017578125
3,1,3,con,3,310.5018615722656,329.2359619140625,374.04931640625,387.9093017578125
3,1,3,cebolla,4,331.501953125,367.7689514160156,374.04931640625,387.9093017578125
3,1,3,y,5,370.0349426269531,376.0849304199219,374.04931640625,387.9093017578125
3,2,3,chile,0,198.40089416503906,222.12786865234375,386.0503234863281,399.9103088378906
3,2,3,"dulce,",1,224.54237365722656,255.2884521484375,386.0503234863281,399.9103088378906
3,2,3,acompañado,2,257.70294189453125,323.9658203125,386.0503234863281,399.9103088378906
3,2,3,de,3,326.37921142578125,339.1391906738281,386.0503234863281,399.9103088378906
3,2,3,frijoles,4,341.5591735839844,375.9671630859375,386.0503234863281,399.9103088378906
3,3,3,"negros,",0,198.40089416503906,236.98887634277344,398.05133056640625,411.91131591796875
3,3,3,arroz,1,239.65087890625,265.1708679199219,398.05133056640625,411.91131591796875
3,3,3,blanco,2,267.8328552246094,301.69195556640625,398.05133056640625,411.91131591796875
3,3,3,y,3,304.35394287109375,310.4039306640625,398.05133056640625,411.91131591796875
3,3,3,aguacate.,4,313.06591796875,362.81890869140625,398.05133056640625,411.91131591796875
4,0,3,Deliciosa,0,175.02000427246094,222.64891052246094,271.27691650390625,285.13690185546875
4,0,3,Chuleta,1,226.72177124023438,267.35052490234375,271.27691650390625,285.13690185546875
4,0,3,de,2,271.4233703613281,284.5171203613281,271.27691650390625,285.13690185546875
4,0,3,cerdo,3,288.5899658203125,318.36895751953125,271.27691650390625,285.13690185546875
4,0,3,al,4,322.4418029785156,331.2719421386719,271.27691650390625,285.13690185546875
4,0,3,grill,5,335.3437194824219,354.79925537109375,271.27691650390625,285.13690185546875
4,1,3,acompañada,0,175.02000427246094,240.2313232421875,283.27691650390625,297.13690185546875
4,1,3,de,1,242.49732971191406,255.23532104492188,283.27691650390625,297.13690185546875
4,1,3,arroz,2,257.5013427734375,282.9410400390625,283.27691650390625,297.13690185546875
4,1,3,"blanco,",3,285.2070617675781,322.0097351074219,283.27691650390625,297.13690185546875
4,1,3,fresca,4,324.2757568359375,354.96026611328125,283.27691650390625,297.13690185546875
4,2,3,ensalada,0,200.93600463867188,245.9810028076172,295.2779235839844,309.1379089355469
4,2,3,y,1,248.64300537109375,254.69300842285156,295.2779235839844,309.1379089355469
4,2,3,nuestra,2,257.3550109863281,296.0419616699219,295.2779235839844,309.1379089355469
4,2,3,guasacaca.,3,298.7039489746094,355.0239562988281,295.2779235839844,309.1379089355469
5,0,3,CHULETA,0,195.76950073242188,250.34429931640625,256.11767578125,271.3216857910156
5,0,3,DE,1,253.22430419921875,268.7643127441406,256.11767578125,271.3216857910156
5,0,3,CERDO,2,271.6443176269531,312.92431640625,256.11767578125,271.3216857910156
5,0,3,"c6,500",3,318.684326171875,356.1723327636719,256.11767578125,271.3216857910156
6,0,3,PABELLÓN,0,207.19349670410156,269.04150390625,158.5816650390625,173.78565979003906
6,0,3,"c6,500",1,271.9215087890625,309.40948486328125,158.5816650390625,173.78565979003906
6,1,3,Tradicional,0,205.9644012451172,260.99737548828125,174.45950317382812,188.3195037841797
6,1,3,sabor,1,263.9233703613281,292.5563659667969,174.45950317382812,188.3195037841797
6,1,3,Venezolano,2,295.1226501464844,353.8735656738281,174.45950317382812,188.3195037841797
6,1,3,de,3,356.799560546875,369.5595397949219,174.45950317382812,188.3195037841797
